country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,20-12-2020,-11,4,-15,-28,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,21-12-2020,-13,1,-20,-30,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,22-12-2020,-14,1,-21,-32,-22,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,23-12-2020,-12,5,-21,-30,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,24-12-2020,-13,7,-21,-30,-23,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,25-12-2020,-19,-4,-20,-32,-12,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,26-12-2020,-16,-1,-22,-31,-11,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,27-12-2020,-9,5,-16,-29,-22,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,28-12-2020,-10,4,-19,-31,-22,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,29-12-2020,-10,4,-17,-32,-23,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,30-12-2020,-7,9,-18,-29,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,31-12-2020,-10,11,3,-30,-25,10
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,01-01-2021,-18,-2,-14,-31,-16,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,02-01-2021,-16,2,-24,-32,-11,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,03-01-2021,-12,6,-22,-28,-18,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,04-01-2021,-16,2,-28,-31,-18,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,05-01-2021,-17,1,-28,-32,-18,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,06-01-2021,-16,2,-29,-31,-18,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,07-01-2021,-17,1,-28,-32,-18,10
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,08-01-2021,-19,0,-25,-32,-11,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,09-01-2021,-17,0,-27,-31,-10,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,10-01-2021,-14,4,-26,-28,-18,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,11-01-2021,-17,1,-29,-31,-18,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,12-01-2021,-18,-1,-29,-33,-19,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,13-01-2021,-18,-1,-31,-34,-20,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,14-01-2021,-19,-3,-28,-34,-23,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,15-01-2021,-22,-6,-22,-36,-19,4
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,16-01-2021,-21,-7,-29,-36,-18,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,17-01-2021,-18,-3,-28,-34,-24,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,18-01-2021,-21,-6,-31,-36,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,19-01-2021,-22,-7,-30,-37,-25,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,20-01-2021,-22,-6,-31,-35,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,21-01-2021,-22,-6,-29,-35,-24,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,22-01-2021,-24,-7,-24,-37,-17,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,23-01-2021,-22,-7,-32,-36,-16,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,24-01-2021,-19,-3,-28,-34,-23,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,25-01-2021,-22,-6,-31,-35,-24,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,26-01-2021,-21,-6,-31,-36,-25,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,27-01-2021,-20,-3,-32,-35,-24,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,28-01-2021,-18,0,-28,-34,-24,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,29-01-2021,-20,0,-25,-35,-16,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,30-01-2021,-16,1,-29,-34,-15,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,31-01-2021,-14,6,-29,-33,-22,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,01-02-2021,-16,3,-31,-35,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,02-02-2021,-16,3,-30,-36,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,03-02-2021,-19,-2,-33,-38,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,04-02-2021,-21,-3,-31,-38,-25,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,05-02-2021,-23,-3,-26,-38,-18,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,06-02-2021,-21,-4,-30,-38,-16,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,07-02-2021,-18,-2,-29,-37,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,08-02-2021,-19,-3,-32,-37,-25,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,09-02-2021,-18,1,-30,-36,-25,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,10-02-2021,-18,1,-31,-35,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,11-02-2021,-18,1,-28,-35,-24,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,12-02-2021,-20,-1,-24,-35,-16,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,13-02-2021,-16,0,-28,-34,-15,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,14-02-2021,-9,7,-23,-32,-22,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,15-02-2021,-16,1,-29,-34,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,16-02-2021,-16,2,-26,-35,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,17-02-2021,-15,4,-27,-33,-23,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,18-02-2021,-16,4,-24,-32,-23,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,19-02-2021,-19,2,-20,-33,-14,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,20-02-2021,-16,3,-25,-32,-13,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,21-02-2021,-12,6,-23,-30,-21,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,22-02-2021,-16,2,-28,-33,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,23-02-2021,-16,2,-27,-33,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,24-02-2021,-15,3,-28,-33,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,25-02-2021,-13,6,-24,-31,-21,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,26-02-2021,-16,5,-21,-32,-13,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,27-02-2021,-12,8,-25,-30,-12,4
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,28-02-2021,-8,14,-23,-27,-19,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,01-03-2021,-11,11,-26,-29,-20,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,02-03-2021,-11,12,-25,-30,-21,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,03-03-2021,-11,11,-27,-30,-20,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,04-03-2021,-11,10,-23,-29,-20,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,05-03-2021,-13,9,-20,-29,-13,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,06-03-2021,-11,9,-24,-29,-12,4
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,07-03-2021,-8,12,-22,-27,-19,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,08-03-2021,-11,8,-26,-30,-20,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,09-03-2021,-12,8,-24,-30,-20,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,10-03-2021,-11,10,-26,-28,-19,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,11-03-2021,-12,10,-22,-27,-19,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,12-03-2021,-13,8,-20,-30,-12,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,13-03-2021,-11,9,-26,-29,-11,4
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,14-03-2021,-8,13,-21,-26,-18,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,15-03-2021,-11,9,-25,-28,-18,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,16-03-2021,-12,9,-23,-28,-19,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,17-03-2021,-11,10,-25,-27,-17,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,18-03-2021,-11,10,-22,-26,-17,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,19-03-2021,-13,9,-20,-28,-10,5
